lat.inds lon.inds
361 1001
361 941
361 881
361 821
361 661
361 761
361 721
361 1061
353 1001
353 941
353 881
353 821
353 661
353 761
353 721
353 1061
369 1001
369 941
369 881
369 821
369 661
369 761
369 721
369 1061
341 1001
341 941
341 881
341 821
341 661
341 761
341 721
341 1061
381 1001
381 941
381 881
381 821
381 661
381 761
381 721
381 1061
329 1001
329 821
329 661
329 761
329 721
329 1061
393 1001
393 941
393 821
393 661
393 761
393 721
393 1061
325 881
